제목,링크
“기본기 향상·신기술 추가” 인텔 아크 B580 리미티드 에디션 그래픽카드 ①기능편 [리뷰],https://news.google.com/read/CBMicEFVX3lxTFBlR1pkR3lTRHVldDh4Ui1FOWhYckFpSUZZNTFpZFpiQWt2YlVMUHNMWW1vN3Myc29TcHF4cHRHaVg3VjA4ZmJObkRCajc3al9xelpUNC1fVGJndWFKSWtUR0VnZ19qLUhtLVpqX0RSY3rSAXRBVV95cUxQQjg1eDdLUmlnRDhHTE1iTVY2N19NYkRVVVprSU5hakZFY1AybUxueGFmM0dzOVpQRHQ2UFAzN1pDRjA4REZPbTFFRDU0Wkc4ZmVTXzJQdjZKRkV4OXlVLUtFeDNVWHN4QWdWQjVscXVUZkNfeQ?hl=ko&gl=KR&ceid=KR%3Ako
인텔 아크 B580 GPU 리뷰 : 10년만에 등장한 뛰어난 보급형 GPU,https://news.google.com/read/CBMizwJBVV95cUxPQ3RPZHdsa0kyU2xrMWh4YjNwZDJVQVJ2eDZPMldPM25Jbkx2VV9KWFVjTUJ5WE5XY2MwOE9KTEttNGVTRlRaM1dqRW5JUGgxenk3MEVaYkNXeDVObVhiR05jQW9BZnZlZkdqaTdlRDBzX3IwRHFCZHBZWVNJTV91M3NiVEYzM2t2cThBZGdVLTd0UmVfMVdMdlEzMVhWdDUyZGZfSHphRk1NcHRVb3ljUFFDb1o0WkJhRTVmSDNjY0hqUDUtRFB2b2hVckpxRjZCTEo4aGhCT1E2MWRVajJvLUY4RzQ0aGVIQkZIYkdRdmliZnRyejdkekotT2FKN1lLQjgxQTdDeEZGaTAzakdVQ3RxSU94ckJNbG5zTmVPTEp5WnRIMk4wdE1GeE81d1pXazUxRmFWa1dNVlZ4VWZjRlFTbXUyR3U3RS1fc1AtUQ?hl=ko&gl=KR&ceid=KR%3Ako
100년마다 오는 초대형 '태양폭풍'… “주기 짧아져 주의 필요”,https://news.google.com/read/CBMiTkFVX3lxTE1hcTNMN2VWRmY4OVBOTjhBTVVSbTlXLWFkOF8zb3BpZEd0Z2NGemNhbGZ5bDRhM2loZFc4NEluMm15b1g4dWNjY1J0UlFRUQ?hl=ko&gl=KR&ceid=KR%3Ako
‘태양 비슷한 별’ 100년마다 초대형 폭풍,https://news.google.com/read/CBMib0FVX3lxTE9MazFGaHg0Q0VWanRfVnB1Vm5TN2JzZ0pSZDFuNDJKZUVRN2U4dGRaVUQwM2loRlYyU1BpaV9xYVlRWVhSWUZXVWdrRVV5Ui1IeS1jV1Ntb3dEazMtSnNqcWl3WWpxZGY4YmFJa0RPVdIBZkFVX3lxTE8zUzFtNlU0ekdma0RiME9Gc1JjUnp6QV9TLW9xUXp3ZTlGdDhIa0JZNVMzUnlsTTlnM3hZT3ZucHB0aGg2bHlzN3lSWnRiTXU2UnJzQ04xeDFPOGFxc3JxdjRZRzRHZw?hl=ko&gl=KR&ceid=KR%3Ako
"태양, 대폭발 가능성 높아졌다",https://news.google.com/read/CBMib0FVX3lxTE01NGZRb2JSckM3b3JvbWN5eDFLLW1tYTQtTXVoU0hGcUlWaExBVDB0SGZZWnlBZUlzeThzWkg1aE9Dd2hUSlhxQ1BhY2dscnZoM1RuZHZ0NlhBWm9aQzYtY3VuTTVueG5tM0NqSHplUdIBc0FVX3lxTE5heHM2TVJTMlBMWFh4WUp5blJueWpqcXZpZWhJRFpMZXBDemhwejdfRWdUV0h0MW1GSVQ4VWRwdkJrdTRWSDFmOUhBbVUzU2VvTFRGcllfLTlELVBkZk0wT2dZem5aNHh3M0VRa2NpODBmSUk?hl=ko&gl=KR&ceid=KR%3Ako
태양 폭발이 부른 위성 대이동...충돌 위험 증가,https://news.google.com/read/CBMioAJBVV95cUxNRm5TNzR4b1B1aUJvSk0ybmFyM0FSN1BVbGxYeTBFX0RhSXZza2V5aHV5MW1ubUd6Z0FKY3pIaVYwYkpPdkFJUk05T2VYaE1jeTNGSURqQjJSTkpSSEd0VFJ4OGhJVkZkN2JrcWo2MkxUSjloOFhFYlBQRkh3ZElxMnpKNDBPclZoQmF6Qm1sLUUzS0FqTTlhTUFYU1RQTm9UQXJ3cXpGaEJlMTRjNzg5M0NPUUR2YnRqaGMtZi1XeFl3eE80TVdtYUF6UTAtc2QzRmlGTTI0cnhJTFNmOFdsTTc0cXpsRkQyZFZSMXYzTVh0ZERLOTg2aHlYT19BVWE4Q2lkdnVOd0lucVNkYXN4aE9KQXE4a3lvOXV6bmFJcTI?hl=ko&gl=KR&ceid=KR%3Ako
[TGA] 드디어 너티독의 신작 공개…’인터갤럭틱’,https://news.google.com/read/CBMiZkFVX3lxTE9vVWRUQXFRc2M0M204OTRra1JpYUphMFRFTEdWUlRVTVAtTVhPcVhjMVhKaXVPX1I3YWsxLUJUSWZMT2xvWVRoVk1IX2hENXhYU09BWVhQa3hZbTc2TVY1YzRTRlhXUdIBakFVX3lxTE1DRktSWlE2aEE4SUtHaHUwYVdaTXI5eUhUSFA2bDR4NFFDcFNnVU1xVVFRUUlrWTZwTUVLbUx3QkFiTmNqeXJ5Wnp4RlNBRndGQkVzclNLUzlUYUt2MmY4dUctWVZUbzlRN1E?hl=ko&gl=KR&ceid=KR%3Ako
"너티 독, 신작 '인터갤러틱: 더 휴리스틱 프로페서' 공개",https://news.google.com/read/CBMiVkFVX3lxTE15aGdSSkROUVM2eWFyWUlRTDZvYnVvREV2aXNlb0Y2em9sUlR3T1FjYlFWTDhDYVpyamppa25GY3J4VlJQbG9IZmwxS09QVWw3UlNnOG53?hl=ko&gl=KR&ceid=KR%3Ako
게임 어워즈에서 공개된 인터갤럭틱 더 헤러틱 선지자: 못된 개의 새로운 우주 게임,https://news.google.com/read/CBMi_wFBVV95cUxNbUNwdVlPbTBFbUxMQlNiakFkVGlIT0U5MnNrOTZLMXE4YjlKcExpdWw3NXkwNnJMeUp1a1pETnJDZlNFbGxvbm1FcHdBZ2YxaDU4ZnJ5UUhLRUxCSzVpdUhuZUtoeGZibGdjd0FnUHVqcWtRUEl6VmN2dVpSblFHUm00WFhxTGpzTEQ4MDRUTVBKVFlBdVdVRUxYMEx5Mnl1TGZVTXQtZEtkYk5uSnRHNGhxU25aaWprVmN5UEdDZ0hFX0RWSEp6VUQ1UVphbGFFM1F1ZHJpNkhuMzlqbElQU0lFWUpLLXJja1ZPUHpKMGxvLVhBd1BUMWFoR1lGXzg?hl=ko&gl=KR&ceid=KR%3Ako
너티독 '닐 드럭만'이 만드는 우주 규모의 신작 '인터갤럭틱',https://news.google.com/read/CBMiY0FVX3lxTE5nQXV0Nm9ESThQWV9QNE9qQjFoanY3dS1UTWZlQVZwZy00NnYxM0dLRHJfV25YMHNyMVQ5TXhsbk9UdmZpc3pPR0ZLNHlGUjh5N1JYREF2aXNWMDA1SkQ1N3ZCSQ?hl=ko&gl=KR&ceid=KR%3Ako
"""2억5천만㎞ 밖 소행성대에서 수십미터급 소행성 138개 발견""",https://news.google.com/read/CBMijwFBVV95cUxPZGhKSllELTY2eTNibDJreThzcXp2M19pYVE2MXdjeXh4dDFScl9udXpzSXBYUXVVVTUtamdCaEF4TDB5Qk84eGwzMkZ3dFVER0N3VWNBNTVWOEhudjZITDdHUjc2bWdBczlmazN2b2xHa0hFeWg1QzBoenViNnA2MDNwdm45R0lGdjVsamZESQ?hl=ko&gl=KR&ceid=KR%3Ako
"[사이테크+] ""2억5천만㎞ 밖 소행성대에서 수십미터급 소행성 138개 발견""",https://news.google.com/read/CBMiW0FVX3lxTE4yMEItVU9CTnFNVzJPelN0TUtHSEhVUWM0MFMxdXd0SmRpWko3ekU5TWh1cUN2bXhHeEFMR2tNczJyRm92eWxGX1NibmlTZmdtaThuOTRRSUtZNkHSAV5BVV95cUxPWGxrVHBlUjFLWlVNb2ZnWVZoMWR1X2hBcDVpQVJyOU1zQW02NnI5RmRUenNzV0JManJsNFhoUHF0ZzVNa04wMGNSczF1bkJsTk04TXplZmNmVndlSGl3?hl=ko&gl=KR&ceid=KR%3Ako
[뉴스속 숫자]수십미터 크기 작은 소행성 138개 발견,https://news.google.com/read/CBMiVkFVX3lxTE96TXRrYnZNRVVsSzNtekhDMk1EczFYZEc4YlFXWkRmWFNnejJHM3dQVFFvRl92dGRxMG1IWGpYaVAtMkFpMDVVbVQ2WWN5NVBMazE1cTZn?hl=ko&gl=KR&ceid=KR%3Ako
"레노버, AI 기반 'CRaaS 솔루션' 출시... 고객 보안 강화",https://news.google.com/read/CBMiXkFVX3lxTE51U3VqN014bjYxNWNLd1ZFN3dkTGUyYmpNNWtSblZVSlI2WlY5OEdxMURYdjNMNzdMSlBtRTJMYzRXYzF0XzRkZ1M4VGlUaGl3U1hMeFBITlIwN1RrVEE?hl=ko&gl=KR&ceid=KR%3Ako
"레노버, AI 기반 ‘구독형 사이버 복원력 서비스’ 출시",https://news.google.com/read/CBMiwwJBVV95cUxONzJwOTJyYVhGN3hWM1ZWMmxOTk0wNXJtN0FkSVI2UnNHX1VlOS0zOEowWWFaQThfVE44Q29zRkdieG1QOVJkRXVpc3JEbUUxci1aWGNJS25qTGExN3FXcEwxS2V1UUR6Z0lsY09EbWlFVkFSems3UnNoa3R0T0sxYlBXVlJJcDJxQ2F4TU81M2p3VWhFbHZxNW9jLWZrQUd0SkZsTlRmQXBVT2VsaVBxTXc5al9MLWpLUmZ4U1Q3enR6Vkg4RzlQSUxrSDJUdnVQbzRteDJCNkRkelJ4OFVtZzUzYVBRcXNvM240OEpVOEpZbXZBOEo2eEoxV25oWGJRR1p1b0RDbF9yekV1STV3WWdOWjlzU1VkYVVtNUZtQ3ZnZUdNcXVxc3NtS3FwUzdCM08wMjNuNklzQXBRWGhBZGl2b9IBwwJBVV95cUxONzJwOTJyYVhGN3hWM1ZWMmxOTk0wNXJtN0FkSVI2UnNHX1VlOS0zOEowWWFaQThfVE44Q29zRkdieG1QOVJkRXVpc3JEbUUxci1aWGNJS25qTGExN3FXcEwxS2V1UUR6Z0lsY09EbWlFVkFSems3UnNoa3R0T0sxYlBXVlJJcDJxQ2F4TU81M2p3VWhFbHZxNW9jLWZrQUd0SkZsTlRmQXBVT2VsaVBxTXc5al9MLWpLUmZ4U1Q3enR6Vkg4RzlQSUxrSDJUdnVQbzRteDJCNkRkelJ4OFVtZzUzYVBRcXNvM240OEpVOEpZbXZBOEo2eEoxV25oWGJRR1p1b0RDbF9yekV1STV3WWdOWjlzU1VkYVVtNUZtQ3ZnZUdNcXVxc3NtS3FwUzdCM08wMjNuNklzQXBRWGhBZGl2bw?hl=ko&gl=KR&ceid=KR%3Ako
"레노버, 인공지능 'CRaaS' 솔루션 출시",https://news.google.com/read/CBMibEFVX3lxTFBIelpLWFRKVERScWpTZGJNcUhqdEJ5UEw0UXMzbzZ2T2l1cm9URTZEdm1xeE4wZkt6T1BoZXkxYnc3aUcyY0RteDZNZWNQSmduNy1vZHVVRzNEbzEwNm0yLV9ZNzFXM3l0cFY4ZQ?hl=ko&gl=KR&ceid=KR%3Ako
"레노버, AI 기반 CRaaS 솔루션 출시… MS 보안 솔루션도 접목",https://news.google.com/read/CBMiQ0FVX3lxTE9VaUFGVklqdkNGMTZPSVdIOVl0bUtLOEN5MTN3OVJIZld2Y2IzZUpIaTVzR1dNaWlEUHRpNVB3cG92b0nSAUNBVV95cUxPVWlBRlZJanZDRjE2T0lXSDlZdG1LSzhDeTEzdzlSSGZXdmNiM2VKSGk1c0dXTWlpRFB0aTVQd3Bvdm9J?hl=ko&gl=KR&ceid=KR%3Ako
